Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Place Name,Time Period,Start_Date,Data Value
216498,386,Ozone (O3),Mean,ppb,Coney Island (CD13),Summer 2013,06/01/2013,34.64
216499,386,Ozone (O3),Mean,ppb,Coney Island (CD13),Summer 2014,06/01/2014,33.22
219969,386,Ozone (O3),Mean,ppb,Bronx,Summer 2013,06/01/2013,31.25
219970,386,Ozone (O3),Mean,ppb,Bronx,Summer 2014,06/01/2014,31.15
164876,383,Sulfur Dioxide (SO2),Mean,ppb,Morris Park and Bronxdale (CD11),Winter 2008-09,12/01/2008,5.89
164877,383,Sulfur Dioxide (SO2),Mean,ppb,Williamsbridge and Baychester (CD12),Winter 2008-09,12/01/2008,5.75
219971,386,Ozone (O3),Mean,ppb,Brooklyn,Summer 2009,06/01/2009,26.27
219972,386,Ozone (O3),Mean,ppb,Brooklyn,Summer 2010,06/01/2010,33.83
164878,383,Sulfur Dioxide (SO2),Mean,ppb,Greenpoint and Williamsburg (CD1),Winter 2008-09,12/01/2008,4.33
164879,383,Sulfur Dioxide (SO2),Mean,ppb,Fort Greene and Brooklyn Heights (CD2),Winter 2008-09,12/01/2008,4.41
164880,383,Sulfur Dioxide (SO2),Mean,ppb,Bedford Stuyvesant (CD3),Winter 2008-09,12/01/2008,4.73
164881,383,Sulfur Dioxide (SO2),Mean,ppb,Bushwick (CD4),Winter 2008-09,12/01/2008,4.71
164882,383,Sulfur Dioxide (SO2),Mean,ppb,East New York and Starrett City (CD5),Winter 2008-09,12/01/2008,3.78
164883,383,Sulfur Dioxide (SO2),Mean,ppb,Park Slope and Carroll Gardens (CD6),Winter 2008-09,12/01/2008,3.94
164884,383,Sulfur Dioxide (SO2),Mean,ppb,Sunset Park (CD7),Winter 2008-09,12/01/2008,3.78
164885,383,Sulfur Dioxide (SO2),Mean,ppb,Crown Heights and Prospect Heights (CD8),Winter 2008-09,12/01/2008,4.79
219973,386,Ozone (O3),Mean,ppb,Brooklyn,Summer 2011,06/01/2011,33.19
219974,386,Ozone (O3),Mean,ppb,Brooklyn,Summer 2012,06/01/2012,33.89
219975,386,Ozone (O3),Mean,ppb,Brooklyn,Summer 2013,06/01/2013,31.13
219976,386,Ozone (O3),Mean,ppb,Brooklyn,Summer 2014,06/01/2014,31.29
164930,383,Sulfur Dioxide (SO2),Mean,ppb,Belmont and East Tremont (CD6),Winter 2009-10,12/01/2009,5.3
164931,383,Sulfur Dioxide (SO2),Mean,ppb,Kingsbridge Heights and Bedford (CD7),Winter 2009-10,12/01/2009,7.49
164932,383,Sulfur Dioxide (SO2),Mean,ppb,Riverdale and Fieldston (CD8),Winter 2009-10,12/01/2009,4.24
164933,383,Sulfur Dioxide (SO2),Mean,ppb,Parkchester and Soundview (CD9),Winter 2009-10,12/01/2009,3.85
219977,386,Ozone (O3),Mean,ppb,Manhattan,Summer 2009,06/01/2009,20.44
219978,386,Ozone (O3),Mean,ppb,Manhattan,Summer 2010,06/01/2010,28.21
219979,386,Ozone (O3),Mean,ppb,Manhattan,Summer 2011,06/01/2011,27.27
164871,383,Sulfur Dioxide (SO2),Mean,ppb,Belmont and East Tremont (CD6),Winter 2008-09,12/01/2008,8.17
219980,386,Ozone (O3),Mean,ppb,Manhattan,Summer 2012,06/01/2012,29.21
164872,383,Sulfur Dioxide (SO2),Mean,ppb,Kingsbridge Heights and Bedford (CD7),Winter 2008-09,12/01/2008,11.75
219981,386,Ozone (O3),Mean,ppb,Manhattan,Summer 2013,06/01/2013,26.33
219982,386,Ozone (O3),Mean,ppb,Manhattan,Summer 2014,06/01/2014,27
164873,383,Sulfur Dioxide (SO2),Mean,ppb,Riverdale and Fieldston (CD8),Winter 2008-09,12/01/2008,6.74
164874,383,Sulfur Dioxide (SO2),Mean,ppb,Parkchester and Soundview (CD9),Winter 2008-09,12/01/2008,5.86
164875,383,Sulfur Dioxide (SO2),Mean,ppb,Throgs Neck and Co-op City (CD10),Winter 2008-09,12/01/2008,4.43
164854,383,Sulfur Dioxide (SO2),Mean,ppb,Financial District (CD1),Winter 2008-09,12/01/2008,4.79
164855,383,Sulfur Dioxide (SO2),Mean,ppb,Greenwich Village and Soho (CD2),Winter 2008-09,12/01/2008,8.68
164856,383,Sulfur Dioxide (SO2),Mean,ppb,Lower East Side and Chinatown (CD3),Winter 2008-09,12/01/2008,7.01
164857,383,Sulfur Dioxide (SO2),Mean,ppb,Clinton and Chelsea (CD4),Winter 2008-09,12/01/2008,7.31
164858,383,Sulfur Dioxide (SO2),Mean,ppb,Midtown (CD5),Winter 2008-09,12/01/2008,10.29
164859,383,Sulfur Dioxide (SO2),Mean,ppb,Stuyvesant Town and Turtle Bay (CD6),Winter 2008-09,12/01/2008,9.22
164860,383,Sulfur Dioxide (SO2),Mean,ppb,Upper West Side (CD7),Winter 2008-09,12/01/2008,11
164861,383,Sulfur Dioxide (SO2),Mean,ppb,Upper East Side (CD8),Winter 2008-09,12/01/2008,12.05
164862,383,Sulfur Dioxide (SO2),Mean,ppb,Morningside Heights and Hamilton Heights (CD9),Winter 2008-09,12/01/2008,9.25
164863,383,Sulfur Dioxide (SO2),Mean,ppb,Central Harlem (CD10),Winter 2008-09,12/01/2008,8.22
164864,383,Sulfur Dioxide (SO2),Mean,ppb,East Harlem (CD11),Winter 2008-09,12/01/2008,6.97
164865,383,Sulfur Dioxide (SO2),Mean,ppb,Washington Heights and Inwood (CD12),Winter 2008-09,12/01/2008,11.44
164866,383,Sulfur Dioxide (SO2),Mean,ppb,Mott Haven and Melrose (CD1),Winter 2008-09,12/01/2008,5.71
164867,383,Sulfur Dioxide (SO2),Mean,ppb,Hunts Point and Longwood (CD2),Winter 2008-09,12/01/2008,5.12
164868,383,Sulfur Dioxide (SO2),Mean,ppb,Morrisania and Crotona (CD3),Winter 2008-09,12/01/2008,7.03
